priority,name,category,latitude,longitude,own_brand_note,competitor_count,competitor_brands,competitor_max_kw,source_id,next_step
HIGH,Göksu Mahallesi Muhtarlığı,business_centre,39.9810035,32.6480943,,0,,0.0,way/495498302,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Görme Araştırmaları ve Az Görme Rehabilitasyon Birimi,clinic,39.9351906,32.8842546,,0,,0.0,way/1445758107,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Göçmen Konutları Aile Sağlığı Merkezi,clinic,40.0268406,32.8891026,,0,,0.0,way/271776054,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,"Göğüs, Kalp ve Damar Hastalıkları Hastanesi",hospital,39.9671983,32.8306779,,0,,0.0,node/10077457878,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gülhane Eğitim ve Araştırma Hastanesi,hospital,39.968838,32.8459548,,0,,0.0,way/424727157,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gültepe Aile Sağlığı Merkez,clinic,39.9496065,32.8807963,,0,,0.0,way/437912586,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gülveren Sağlık Ocağı,clinic,39.9491042,32.8960839,,0,,0.0,way/423285010,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Güneş Diyaliz Merkez,clinic,39.9837408,32.7627401,,0,,0.0,way/406575963,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Güneşevler Semt Polikliniği,clinic,39.971465,32.8846772,,0,,0.0,node/4393575503,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gürgan Clinic,clinic,39.9128863,32.7692817,,0,,0.0,node/4540062293,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Güven Fizik Tedavi Merkezi,clinic,39.8935006,32.857033,,0,,0.0,node/247208793,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Güven Hastanesi,hospital,39.9045038,32.8545724,,0,,0.0,way/741763006,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Güven Çayyolu Sağlık Kampüsü,hospital,39.8660218,32.6852028,zes 0kW,0,,0.0,way/387478850,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,HAVELSAN ARGE Binası,business_centre,39.8935342,32.7726479,,0,,0.0,way/423686180,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,HC International Clinic,hospital,39.8875893,32.847334,,0,,0.0,way/226285546,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Hacettepe Üniversitesi Hastaneleri,hospital,39.9306877,32.8624088,,0,,0.0,node/8147891777,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Hacettepe Üniversitesi Hastanesi,hospital,39.9312815,32.8639524,,0,,0.0,way/875361613,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Halk Sağlığı Genel Müdürlüğü Ulusal Viroloji Referans Laboratuvarları,clinic,39.9274415,32.8601473,,0,,0.0,node/7364917211,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Halıcı Yazılım Evi,business_centre,39.8975439,32.7758594,,0,,0.0,way/423686181,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Havacılar Aile Sağlığı Merkezi,clinic,39.9620011,32.7805227,,0,,0.0,node/4564687971,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Hemodiyaliz,hospital,39.9641333,32.8321434,,0,,0.0,node/10159201121,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Hilal Aile Sağlığı Merkezi,clinic,39.8702549,32.8630467,,0,,0.0,node/4374052671,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Hrs Kadın Hastanesi,hospital,39.8992464,32.8571032,,0,,0.0,way/458424437,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Hüseyingazi Semt Polikliniği,hospital,39.96468,32.9550957,,0,,0.0,node/4191717260,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Integra Tıbbi Görüntüleme,clinic,39.904105,32.8660459,,0,,0.0,node/312779097,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
